fecha;huelgas
01/01/2014;88
01/02/2014;107
01/03/2014;112
01/04/2014;100
01/05/2014;108
01/06/2014;106
01/07/2014;99
01/08/2014;40
01/09/2014;59
01/10/2014;88
01/11/2014;84
01/12/2014;105
01/01/2015;75
01/02/2015;91
01/03/2015;100
01/04/2015;83
01/05/2015;88
01/06/2015;85
01/07/2015;81
01/08/2015;30
01/09/2015;48
01/10/2015;60
01/11/2015;65
01/12/2015;70
01/01/2016;51
01/02/2016;71
01/03/2016;80
01/04/2016;88
01/05/2016;96
01/06/2016;98
01/07/2016;78
01/08/2016;50
01/09/2016;72
01/10/2016;100
01/11/2016;89
01/12/2016;75
01/01/2017;72
01/02/2017;77
01/03/2017;117
01/04/2017;96
01/05/2017;113
01/06/2017;97
01/07/2017;87
01/08/2017;44
01/09/2017;77
01/10/2017;89
01/11/2017;72
01/12/2017;85
01/01/2018;52
01/02/2018;70
01/03/2018;100
01/04/2018;96
01/05/2018;112
01/06/2018;102
01/07/2018;78
01/08/2018;36
01/09/2018;75
01/10/2018;96
01/11/2018;127
01/12/2018;111
01/01/2019;98
01/02/2019;98
01/03/2019;101
01/04/2019;132
01/05/2019;122
01/06/2019;102
01/07/2019;96
01/08/2019;58
01/09/2019;104
01/10/2019;114
01/11/2019;119
01/12/2019;135
01/01/2020;97
01/02/2020;99
01/03/2020;71
01/04/2020;13
01/05/2020;22
01/06/2020;33
01/07/2020;47
01/08/2020;26
01/09/2020;63
01/10/2020;78
01/11/2020;69
01/12/2020;86
01/01/2021;57
01/02/2021;61
01/03/2021;76
01/04/2021;90
01/05/2021;94
01/06/2021;95
01/07/2021;73
01/08/2021;36
01/09/2021;49
01/10/2021;67
01/11/2021;77
01/12/2021;86
